467	32.6
468	33.3
469	29.9
470	32.9
471	34.1
472	33.2
473	31.3
474	32.8
475	33.1
476	33.4
477	31.7
478	33.2
479	33.6
480	29.9
481	28.7
482	30.8
483	34.6
484	35.2
485	33.7
486	33.7
487	33.7
488	33.9
489	30.8
490	28.2
491	30.7
492	33.2
493	32.9
494	32.8
495	31.7
496	32.8
497	34.2
498	33.5
499	34.9
500	33.8
501	32.7
502	32.5
503	33.8
504	36.4
505	29.1
506	32.2
507	32.4
508	31.9
509	26.8
510	30.3
511	32.9
512	34.9
513	33.2
514	34.9
515	33.2
516	30.7
517	27.4
518	31.5
519	32.2
520	31.7
521	33.9
522	36.1
523	35.5
524	36.3
525	35.3
526	35.4
527	34.9
528	36.2
529	34.7
530	36.8
531	36.4
532	35.7
533	35.2
534	36.0
535	36.6
536	33.9
537	34.4
538	30.1
539	29.8
540	31.1
541	31.8
542	34.6
543	34.4
544	30.2
545	31.8
546	33.2
547	33.8
548	31.5
549	30.5
550	28.7
551	31.0
552	28.6
553	32.6
554	32.1
555	33.7
556	33.6
557	31.4
558	32.6
559	31.8
560	30.7
561	32.3
562	28.8
563	27.3
564	29.3
565	29.7
566	29.3
567	30.5
568	31.2
569	31.2
570	32.3
571	32.4
572	32.2
573	32.7
574	33.4
575	32.9
576	30.8
577	29.1
578	27.6
579	28.0
580	29.2
581	29.8
582	29.2
583	27.8
584	25.7
585	24.9
586	24.6
587	25.5
588	27.8
589	27.4
590	27.9
591	27.6
592	28.8
593	29.1
594	30.3
595	28.2
596	27.9
597	29.7
598	29.0
599	30.1
600	29.4
601	29.8
602	30.4
603	30.4
604	28.2
605	28.2
606	29.4
607	30.7
608	30.3
609	29.7
610	28.9
611	29.6
612	29.4
613	29.9
614	29.5
615	28.7
616	28.5
617	29.7
618	30.2
619	27.8
620	27.4
621	25.6
622	24.7
623	25.9
624	25.9
625	26.3
626	24.1
627	27.0
628	26.3
629	25.5
630	25.1
631	26.9
632	25.5
633	24.9
634	25.3
635	25.6
636	24.9
637	23.4
638	23.2
639	22.8
640	23.3
641	23.8
642	24.2
643	24.1
644	23.3
645	23.3
646	23.8
647	24.1
648	24.8
649	22.5
650	23.1
651	22.3
652	21.6
653	21.6
654	19.8
655	21.3
656	22.1
657	21.0
658	19.9
659	19.3
660	21.3
661	19.3
662	17.1
663	17.8
664	17.9
665	19.9
666	17.9
667	17.9
668	17.6
669	18.2
670	17.7
671	17.7
672	17.4
673	18.1
674	17.9
675	17.6
676	18.3
677	18.0
678	18.1
679	17.3
680	17.4
681	17.1
682	14.0
683	14.7
684	14.1
685	14.8
686	16.3
687	16.5
688	15.9
689	16.2
690	16.7
691	16.0
692	15.9
693	14.9
694	17.1
695	15.8
696	14.7
697	17.3
698	15.0
699	15.3
700	16.1
701	15.7
702	16.7
703	13.9
704	11.6
705	11.2
706	10.8
707	12.8
708	9.6
709	11.4
710	11.6
711	10.1
712	10.7
713	11.8
714	15.8
715	17.1
716	16.3
717	15.4
718	12.0
719	13.9
720	12.4
721	10.7
722	11.6
723	12.5
724	12.4
725	12.3
726	12.7
727	13.1
728	11.7
729	13.1
730	14.2
731	16.0
732	17.7
733	19.3
734	19.8
735	19.7
736	17.6
737	15.2
738	16.2
739	14.8
740	12.6
741	16.7
742	14.4
743	14.7
744	12.6
745	11.3
746	12.9
747	14.7
748	17.0
749	18.2
750	16.1
751	13.2
752	14.3
753	16.3
754	12.3
755	16.8
756	17.8
757	16.3
758	14.7
759	16.0
760	15.8
761	19.6
762	18.7
763	22.4
764	21.6
765	21.7
766	21.1
767	20.1
768	19.4
769	22.3
770	22.5
771	21.8
772	22.8
773	25.9
774	21.7
775	20.5
776	21.1
777	23.4
778	24.6
779	25.1
780	24.6
781	21.1
782	22.3
783	23.8
784	22.3
785	21.9
786	24.5
787	25.7
788	25.0
789	23.0
790	23.3
791	23.9
792	26.9
793	27.9
794	26.9
795	25.8
796	26.2
797	27.7
798	25.9
799	27.9
800	28.9
801	26.8
802	28.3
803	29.9
804	28.4
805	31.6
806	31.7
807	29.3
808	31.3
809	29.8
810	30.4
811	28.8
812	27.2
813	34.9
